title,decision,total_score,q1_score,q2_score,q3_score,q4_score,q5_score,exclusion_reason,doi,source_database,created_at
Implicating animals: the symbolic power of scapegoating animals in marine pollution debates,EXCLUDE,5,1,2,0,1,1,"Q3 KILL SWITCH: No quantitative data/Qualitative study. (AI Note: This is a policy analysis of media reports and responses to regulatory review, not a quantitative study of oil pollution.)",10.1080/14486563.2014.978402,OpenAlex,2026-03-02 22:50:16.096175+00
Batch and continuous treatability of oily wastewaters from port waste reception facilities: A pilot scale study,EXCLUDE,5,2,1,0,2,0,Q3 KILL SWITCH: No quantitative data/Qualitative study. (AI Note: The abstract is missing.),10.1016/j.jelechem.2015.11.024,OpenAlex,2026-03-02 22:49:37.763242+00
Toxicity of treated bilge water: The need for revised regulatory control,EXCLUDE,5,2,2,0,1,0,"Q3 KILL SWITCH: No quantitative data/Qualitative study. (AI Note: This study discusses the need for regulations, so it is likely a policy discussion rather than empirical research.)",10.1016/j.marpolbul.2016.11.010,OpenAlex,2026-03-02 22:49:32.863837+00
Characterization of fish hold effluent discharged from commercial fishing vessels into harbor waters,EXCLUDE,5,2,2,0,1,0,Q3 KILL SWITCH: No quantitative data/Qualitative study. (AI Note: The abstract is missing; unable to assess quantification or methodology.),10.1016/j.marpolbul.2014.08.015,OpenAlex,2026-03-02 22:52:01.65432+00
Pollution From Commercial Vessels Machinery Space Bilges,EXCLUDE,5,2,2,0,1,0,"Q3 KILL SWITCH: No quantitative data/Qualitative study. (AI Note: This is a case study/overview of bilge waste disposal, lacking quantitative data and empirical methods.)",10.7901/2169-3358-2021.1.658764,OpenAlex,2026-03-02 22:50:02.044923+00
Laptev Sea System: Expeditions in 1994,EXCLUDE,5,2,1,0,0,2,"Q3 KILL SWITCH: No quantitative data/Qualitative study. (AI Note: This paper describes an expedition in the Laptev Sea documenting the pathways of river discharge using oceanographical, ecological, chemical, and sedimentological parameters.)",10.2312/bzp_0182_1_1995,OpenAlex,2026-03-02 22:52:02.963937+00
SAR imagery and Seatrack Web as decision making tools for illegal oil spill combating &amp;#x2014; a case study,EXCLUDE,5,2,1,0,1,1,"Q3 KILL SWITCH: No quantitative data/Qualitative study. (AI Note: This paper is a case study of an oil spill incident in the Baltic Sea, but is more of a modeling exercise rather than direct quantification of oil.)",10.1109/baltic.2010.5621629,OpenAlex,2026-03-02 22:49:48.631537+00
Ferry oily wastewater treatment,EXCLUDE,5,1,2,0,2,0,Q3 KILL SWITCH: No quantitative data. MISSING ABSTRACT: High-relevance title; manual check needed. (AI Note: The abstract is empty.),10.1016/j.seppur.2008.10.013,OpenAlex,2026-03-02 22:49:35.880702+00
Reusable Magnetic Nanocomposite Sponges for Removing Oil from Water Discharges,EXCLUDE,5,1,2,0,2,0,"Q3 KILL SWITCH: No quantitative data/Qualitative study. (AI Note: The abstract focuses on a lab-developed sponge for oil/water separation, rather than an empirical study in a real-world marine environment.)",10.5957/jspd.33.3.160017,OpenAlex,2026-03-02 22:49:42.291879+00
Oil in Water Monitoring Using Advanced Light Scattering,EXCLUDE,5,1,2,0,2,0,Q3 KILL SWITCH: No quantitative data/Qualitative study. (AI Note: This paper describes a monitoring instrument and does not present new empirical data.),10.1115/mts2013-0301,OpenAlex,2026-03-02 22:49:37.538142+00
Investigation of recreational boats as a source of copper at anchorage sites using time-integrated diffusive gradients in thin film and sediment measurements,EXCLUDE,4,2,2,0,0,0,Q3 KILL SWITCH: No quantitative data/Qualitative study. (AI Note: The abstract is missing.),10.1016/j.marpolbul.2004.06.012,OpenAlex,2026-03-02 22:47:06.576497+00
Environmental monitoring of the marine part o f the Caspian Sea within the territory of Aktau,EXCLUDE,4,1,0,0,1,2,"Q3 KILL SWITCH: No quantitative data/Qualitative study. (AI Note: Focuses on general marine environmental monitoring in the Caspian Sea, with some lab analysis of phenols and hydrocarbons.)",10.26577/eje.2020.v62.i1.07,OpenAlex,2026-03-02 22:50:46.096884+00
Abatement of bilge dumping: Another piece to achieve Maritime Decarbonization,EXCLUDE,4,1,2,0,1,0,"Q3 KILL SWITCH: No quantitative data/Qualitative study. (AI Note: The abstract is missing, so the scores are based solely on the title's content and general interpretation.)",10.1016/j.socimp.2024.100037,OpenAlex,2026-03-02 22:49:41.293577+00
The use of backflushed coalescing microfiltration as a pretreatment for the ultrafiltration of bilge water,EXCLUDE,4,1,2,0,1,0,"Q3 KILL SWITCH: No quantitative data/Qualitative study. (AI Note: The abstract is missing, so I can't analyze the methods or results.)",10.1016/j.desal.2004.12.040,OpenAlex,2026-03-02 22:49:34.470331+00
Purification of bilge water by hybrid ultrafiltration and photocatalytic processes,EXCLUDE,4,1,2,0,1,0,"Q3 KILL SWITCH: No quantitative data/Qualitative study. (AI Note: The abstract is missing, therefore no judgment can be made.)",10.1016/s1383-5866(98)00071-9,OpenAlex,2026-03-02 22:49:33.542682+00
Low dissolved oxygen (DO) operation of biological nutrient removal (BNR) – membrane bio reactor (MBR) processes,EXCLUDE,4,0,0,2,0,2,Low score: Cumulative criteria not met. (AI Note: The study focuses on wastewater treatment using a membrane bioreactor with a synthetic feed solution in a lab setting.),10.62791/20350,OpenAlex,2026-03-02 22:50:04.669722+00
"Effects of Forces, Particle Sizes, and Moisture Contents on Mechanical Behaviour of Densified Briquettes from Ground Sunflower Stalks and Hazelnut Husks",EXCLUDE,4,0,0,2,0,2,Low score: Cumulative criteria not met. (AI Note: This study examines the mechanical behavior of biomass briquettes and is not relevant to marine research.),10.3390/en13102542,OpenAlex,2026-03-02 22:50:58.705315+00
Petroleum contamination of the coastal environment of St. Lucia,EXCLUDE,4,2,0,0,2,0,Q3 KILL SWITCH: No quantitative data/Qualitative study. (AI Note: No method is specified in the abstract.),10.1016/0025-326x(93)90410-l,OpenAlex,2026-03-02 22:51:59.4528+00
Comparative study of electrochemical wastewater treatment processes for bilge water as oily wastewater: A kinetic approach,EXCLUDE,4,0,2,0,2,0,"Q3 KILL SWITCH: No quantitative data. MISSING ABSTRACT: High-relevance title; manual check needed. (AI Note: The abstract is missing, and the title alone suggests lab study so cannot score method.)",10.1016/j.jelechem.2015.04.005,OpenAlex,2026-03-02 22:49:33.317531+00
"Impacts of global shipping operations on marine organisms: emerging contaminants, biodiversity monitoring, and management strategies—a 25-year review",EXCLUDE,4,1,1,0,1,1,Q3 KILL SWITCH: No quantitative data/Qualitative study. (AI Note: This is a review paper on shipping impacts so it is not an original study.),10.1007/s11356-025-37360-w,OpenAlex,2026-03-02 22:50:03.658432+00
Treatment of Oily Wastewater Using Dissolved Air Flotation Technique,EXCLUDE,4,0,0,0,2,2,"Q3 KILL SWITCH: No quantitative data/Qualitative study. (AI Note: The study is focused on treating wastewater using a specific technique, not on marine pollution or vessel impact.)",10.1080/009083190948711,OpenAlex,2026-03-02 22:49:34.949611+00
Enhancement of Marina Service Quality of Yacht Tourism in Taiwan: A Euclidean Distance of Importance-Performance Analysis,EXCLUDE,4,2,2,0,0,0,Q3 KILL SWITCH: No quantitative data/Qualitative study. (AI Note: This is a qualitative study of marina service quality using surveys.),10.1177/21582440241281634,OpenAlex,2026-03-02 22:50:44.881632+00
Author response: Quantitative insights into the cyanobacterial cell economy,EXCLUDE,4,0,0,2,0,2,"Low score: Cumulative criteria not met. (AI Note: This study focuses on cyanobacteria cell economy in a lab setting, and not on marine pollution.)",10.7554/elife.42508.035,OpenAlex,2026-03-02 22:51:09.827023+00
Intermittent hypoxia prior to completion of nephrogenesis increases systolic blood pressure and proteinuria after angiotensin II treatment in adult male rats,EXCLUDE,4,0,0,2,0,2,"Low score: Cumulative criteria not met. (AI Note: This study focuses on the effects of intermittent hypoxia on kidney development in rats, and does not involve water, vessels, or oil, but uses explicit numbers.)",10.1096/fasebj.2019.33.1_supplement.593.6,OpenAlex,2026-03-02 22:51:09.181221+00
Decision letter: Quantitative insights into the cyanobacterial cell economy,EXCLUDE,4,0,0,2,0,2,"Low score: Cumulative criteria not met. (AI Note: This article focuses on quantitative analysis of cyanobacteria growth in the lab, so it is not applicable to marine pollution research.)",10.7554/elife.42508.034,OpenAlex,2026-03-02 22:51:10.232878+00
Specification for Shipboard Oil Pollution Abatement System,EXCLUDE,4,1,1,0,2,0,Q3 KILL SWITCH: No quantitative data/Qualitative study. (AI Note: This document is a specification/policy and not a research study.),10.1520/f2283,OpenAlex,2026-03-02 22:50:00.26282+00
Breeding and a Phenological Shift in the White-Eyed Gull Larus Leucophthalmus in the Red Sea Islands of Egypt,EXCLUDE,4,1,1,0,1,1,"Q3 KILL SWITCH: No quantitative data/Qualitative study. (AI Note: This paper is on seabird breeding and conservation in the Red Sea, with some discussion of oil spills and vessel bilge water.)",10.21608/aels.2024.282020.1050,OpenAlex,2026-03-02 22:49:53.365373+00
Separation And Monitoring Of Oily Bilge Water,EXCLUDE,4,1,2,0,1,0,"Q3 KILL SWITCH: No quantitative data/Qualitative study. (AI Note: This article discusses policy, regulations, and case studies regarding oily bilge water separation and monitoring, rather than presenting original empirical research or quantitative an",10.4043/2200-ms,OpenAlex,2026-03-02 22:49:57.280971+00
"Anthropogenic, Direct Pressures on Coastal Wetlands",EXCLUDE,4,2,1,0,1,0,"Q3 KILL SWITCH: No quantitative data/Qualitative study. (AI Note: This is a qualitative overview of human pressures on coastal wetlands, lacking quantitative data or a specific empirical method.)",10.3389/fevo.2020.00144,OpenAlex,2026-03-02 22:51:50.344718+00
(Invited) Al-Doped SrTiO<sub>3</sub> Photocatalyst for Selective CO<sub>2</sub> Reduction with Water as a Reductant,EXCLUDE,4,0,0,2,0,2,Low score: Cumulative criteria not met. (AI Note: This study focuses on photocatalytic conversion of CO2 into chemicals in a lab setting and is not marine-related.),10.1149/ma2023-01141378mtgabs,OpenAlex,2026-03-02 22:51:02.05895+00
Historical Overview of Oil Spills from All Sources (1960–1998),EXCLUDE,4,0,1,1,2,0,"Low score: Cumulative criteria not met. (AI Note: This is a review of oil spills, not a novel field experiment.)",10.7901/2169-3358-1999-1-1097,OpenAlex,2026-03-02 22:50:34.027986+00
Optimal spectral irradiance for laryngoscopy,EXCLUDE,4,0,0,2,0,2,"Low score: Cumulative criteria not met. (AI Note: This study is about medical devices, specifically laryngoscopes, and not related to marine research.)",10.1111/j.1460-9592.2007.02255_4.x,OpenAlex,2026-03-02 22:51:01.371052+00
Need for a Smart Autonomous Bilge Management System: A Review,EXCLUDE,4,1,1,0,1,1,"Q3 KILL SWITCH: No quantitative data/Qualitative study. (AI Note: This paper is a review exploring the potential application of AI and ML in bilge water management, and does not include any original data or sampling.)",10.31224/4310,OpenAlex,2026-03-02 22:49:54.890978+00
Water Quality Analysis in a Residential Area of Kuwait,EXCLUDE,4,0,0,1,1,2,"Low score: Cumulative criteria not met. (AI Note: This study focuses on drinking water quality in a residential area, and while it mentions seawater pollution in Kuwait generally, the study itself is not focused on marine research.)",10.1061/41114(371)69,OpenAlex,2026-03-02 22:49:47.467986+00
Remediation Technologies for Marine Oil Spills: A Critical Review and Comparative Analysis,EXCLUDE,4,1,1,0,1,1,Q3 KILL SWITCH: No quantitative data/Qualitative study. (AI Note: This is a review article about remediation technologies and oil spills.),10.3844/ajessp.2011.423.440,OpenAlex,2026-03-02 22:49:32.640204+00
Control of hydrogen content and fuel recycling for long pulse high performance plasma operation in EAST,EXCLUDE,4,0,0,2,0,2,Low score: Cumulative criteria not met. (AI Note: This study is about plasma physics in a tokamak reactor and has no direct relevance to marine research.),10.1088/1741-4326/ab3ead,OpenAlex,2026-03-02 22:50:56.972025+00
Development of an Integrated Profiling System for Field Studies of Plumes in the Marine Environment,EXCLUDE,4,1,0,0,1,2,Q3 KILL SWITCH: No quantitative data/Qualitative study. (AI Note: Describes the development of a plume profiling system for marine pollutants but lacks specific quantitative data.),10.4043/6547-ms,OpenAlex,2026-03-02 22:52:14.895923+00
Bilge System Design on 500 GT Ferry for Bulukumba–Selayar Route,EXCLUDE,4,0,2,0,0,2,"Q3 KILL SWITCH: No quantitative data/Qualitative study. (AI Note: This paper discusses the design of a bilge system on a ferry and is therefore about vessel engineering, not marine pollution.)",10.1088/1755-1315/921/1/012010,OpenAlex,2026-03-02 22:49:43.573078+00
Application of Orchis mascula tuber starch as a natural coagulant for oily-saline wastewater treatment: Modeling and optimization by multivariate adaptive regression splines method and response surface methodology,EXCLUDE,4,0,0,0,2,2,Q3 KILL SWITCH: No quantitative data/Qualitative study. (AI Note: The study focuses on oily wastewater treatment using a natural coagulant and modeling methods.),10.1016/j.jece.2020.104745,OpenAlex,2026-03-02 22:51:18.664797+00
Need for a Smart Autonomous Bilge Management System: A Review,EXCLUDE,4,1,1,0,1,1,"Q3 KILL SWITCH: No quantitative data/Qualitative study. (AI Note: This is a review proposing a system, not a quantitative original research study.)",10.32942/x2hg9h,OpenAlex,2026-03-02 22:49:55.373639+00
Detergents as a condition of pollution from coastal marine aerosol,EXCLUDE,4,2,0,0,2,0,"Q3 KILL SWITCH: No quantitative data/Qualitative study. (AI Note: The abstract is missing, so it is impossible to extract meaningful research data.)",10.1016/0025-326x(88)90815-6,OpenAlex,2026-03-02 22:51:27.415953+00
"International Symposium on Marine Pollution, Monaco, 5-9 October 1998",EXCLUDE,4,1,1,1,1,0,"Low score: Cumulative criteria not met. (AI Note: This is a conference summary, so it is not original empirical research.)",10.1088/0952-4746/19/1/019,OpenAlex,2026-03-02 22:52:08.874493+00
"Enhancing Safety, Security, and Environmental Protection of the Straits of Malacca and Singapore: The Cooperative Mechanism",EXCLUDE,4,2,1,0,1,0,"Q3 KILL SWITCH: No quantitative data/Qualitative study. (AI Note: This article discusses cooperation and policy regarding safety, security, and environmental protection in the Straits of Malacca and Singapore, without specific quantification or metho",10.1080/00908320902864854,OpenAlex,2026-03-02 22:50:36.37239+00
"Accidental Spills – Frequency, Importance, Control, Countermeasures",EXCLUDE,4,2,1,0,1,0,"Q3 KILL SWITCH: No quantitative data/Qualitative study. (AI Note: This article discusses pollution events in the Rhine River, but it is more of a general overview of accidental spills and countermeasures rather than a quantitative empirical study of ",10.2166/wst.1994.0088,OpenAlex,2026-03-02 22:49:39.798095+00
Transport of Continental Runoff Through the Vilkitskiy Strait in September 2017 and 2018,EXCLUDE,4,1,1,0,0,2,Q3 KILL SWITCH: No quantitative data/Qualitative study. (AI Note: This paper describes a study that uses hydrochemical data to track river runoff in the Kara and Laptev Seas.),10.1134/s0001437020030054,OpenAlex,2026-03-02 22:52:01.375198+00
Enrichment and characterization of a bilge microbial consortium with oil in water-emulsions breaking ability for oily wastewater treatment,EXCLUDE,4,0,2,0,2,0,Q3 KILL SWITCH: No quantitative data. MISSING ABSTRACT: High-relevance title; manual check needed. (AI Note: Abstract is missing; title suggests a lab-based study on bilge microbial consortium's ability to treat oily wastewater.),10.1007/s10532-020-09894-y,OpenAlex,2026-03-02 22:49:37.300889+00
A new approach to ship bilge waters cleaning,EXCLUDE,4,1,2,0,1,0,Q3 KILL SWITCH: No quantitative data/Qualitative study. (AI Note: This is a review article that discusses bilge water cleaning methods in ships but does not include original experimental data.),10.15589/znp2019.3(477).10,OpenAlex,2026-03-02 22:49:58.012277+00
Control of Vessel Pollution In America's Waterways,EXCLUDE,4,2,1,0,1,0,Q3 KILL SWITCH: No quantitative data/Qualitative study. (AI Note: This is a case study and overview of vessel pollution management programs without specific quantitative data or original research methods.),10.4043/1629-ms,OpenAlex,2026-03-02 22:50:26.028338+00
"Tidal inlet configuration and bathymetric changes resulting from active sedimentation, Buffalo Bay, New Zealand.",EXCLUDE,4,2,1,0,0,1,"Q3 KILL SWITCH: No quantitative data/Qualitative study. (AI Note: This paper describes bathymetric changes within an estuary and inlet due to sediment deposition, but does not contain pollution data.)",10.2112/jcr-si50-135.1,OpenAlex,2026-03-02 22:52:13.391647+00
"From Boatyard to Museum: 3D laser scanning and digital modelling of the Qatar Museums watercraft collection, Doha, Qatar",EXCLUDE,4,1,2,0,0,1,"Q3 KILL SWITCH: No quantitative data/Qualitative study. (AI Note: This article discusses 3D laser scanning and digital modelling of watercraft at Qatar Museums, focusing on methodology rather than environmental impact.)",10.1111/1095-9270.12298,OpenAlex,2026-03-02 22:52:20.152069+00
Waste generation and management onboard a cruise ship: A case study,EXCLUDE,4,1,2,0,1,0,"Q3 KILL SWITCH: No quantitative data/Qualitative study. (AI Note: The abstract is missing, so a confident assessment is impossible.)",10.1016/j.ocecoaman.2021.105850,OpenAlex,2026-03-02 22:47:01.965636+00
Maritime Piracy in Nigeria: Old Wine in New Bottles?,EXCLUDE,4,2,2,0,0,0,"Q3 KILL SWITCH: No quantitative data/Qualitative study. (AI Note: The study focuses on maritime piracy and its relationship to political conflicts and crime in the oil-producing coastal states of Nigeria, offering a qualitative analysis rather than q",10.1080/1057610x.2012.684651,OpenAlex,2026-03-02 22:50:34.650833+00
Changes in Concentrations of Organotins in Water and Sediment in England and Wales Following Legislation,EXCLUDE,4,2,0,1,1,0,"Low score: Cumulative criteria not met. (AI Note: The abstract is missing, so a definitive assessment is not possible based only on the title.)",10.1007/978-94-009-1507-7_27,OpenAlex,2026-03-02 22:50:45.493631+00
Saving the Ramsar sites,EXCLUDE,4,2,1,0,1,0,Q3 KILL SWITCH: No quantitative data/Qualitative study. (AI Note: This chapter is a policy review of marine pollution using a legal framework and discussion of sustainable development goals.),10.4324/9781003230724-15,OpenAlex,2026-03-02 22:49:50.833118+00
The Teflon Tubing Bleeding Time In Man,EXCLUDE,4,0,0,2,0,2,Low score: Cumulative criteria not met. (AI Note: This article discusses a laboratory experiment on human blood coagulation using a Teflon tube and is not related to marine research.),10.1055/s-0038-1652349,OpenAlex,2026-03-02 22:51:00.719738+00
Physiological responses and phytoremediation capability of Avicennia marina to oil contamination,EXCLUDE,4,2,0,0,2,0,Q3 KILL SWITCH: No quantitative data/Qualitative study. (AI Note: The abstract is missing; cannot assess quantification or method.),10.1007/s11738-020-03177-y,OpenAlex,2026-03-02 22:51:50.63191+00
Enabling Staged Pressurized Oxy-Combustion: Improving Flexibility and Performance at Reduced Cost,EXCLUDE,4,0,0,2,0,2,"Low score: Cumulative criteria not met. (AI Note: This study focuses on power plant combustion and carbon capture, with no relevance to marine research.)",10.2172/1545657,OpenAlex,2026-03-02 22:51:00.468774+00
Effect of angiotensin-converting enzyme inhibitor on DNA damage and inflammatory molecules expression in rabbit aortic endothelial cells cultured in vitro in hypercholesterolemic and hyperglycemic conditions,EXCLUDE,4,0,0,2,0,2,"Low score: Cumulative criteria not met. (AI Note: This study focuses on in vitro cell cultures and molecular mechanisms related to vascular disease, not marine environments.)",10.55124/ijbp.v1i1.74,OpenAlex,2026-03-02 22:51:11.118212+00
Potential Environmental and Environmental-Health Implications of the SAFRR Tsunami Scenario in California: Chapter F in &lt;i&gt;The SAFRR (Science Application for Risk Reduction) Tsunami Scenario&lt;/i&gt;,EXCLUDE,4,2,1,0,1,0,Q3 KILL SWITCH: No quantitative data/Qualitative study. (AI Note: This is a tsunami scenario with generic pollution impacts and lacks original empirical methodology.),10.3133/ofr20131170f,OpenAlex,2026-03-02 22:51:51.603145+00
Surfactant addition to enhance bioavailability of bilge water in single chamber microbial fuel cells (MFCs),EXCLUDE,4,0,2,0,2,0,"Q3 KILL SWITCH: No quantitative data. MISSING ABSTRACT: High-relevance title; manual check needed. (AI Note: This study focuses on enhancing the bioavailability of bilge water in microbial fuel cells with surfactants, which is lab based.)",10.1016/j.jhazmat.2019.02.007,OpenAlex,2026-03-02 22:51:15.634749+00
Small but mighty: managing Northeast Atlantic forage fish to sustain marine life,EXCLUDE,4,1,1,1,0,1,Low score: Cumulative criteria not met. (AI Note: This paper is a systematic review of fisheries management practices and does not focus on marine pollution.),10.5281/zenodo.8344554,OpenAlex,2026-03-02 22:51:04.1901+00
Perencanaan Bilga Piping System Pada Kapal Penumpang Refurbish,EXCLUDE,4,2,2,0,0,0,Q3 KILL SWITCH: No quantitative data/Qualitative study. (AI Note: This paper describes the design of a bilge piping system but does not report empirical environmental research data.),10.33863/cmea.v7i1.3181,OpenAlex,2026-03-02 22:47:03.121002+00
Quantifying hemolytic response in sickle cell disease blood to mechanical and hypoxic stressors,EXCLUDE,4,0,0,2,0,2,Low score: Cumulative criteria not met. (AI Note: This article details a lab study about blood hemolysis in sickle cell disease.),10.1182/blood-2025-6482,OpenAlex,2026-03-02 22:51:08.133948+00
The Thermal Stability of the Naphthalene Sulfonic Acids Under Geothermal Conditions,EXCLUDE,4,0,0,2,0,2,"Low score: Cumulative criteria not met. (AI Note: This study investigated the thermal stability of naphthalene sulfonic acids under geothermal conditions, so it does not align with marine research.)",10.26686/wgtn.17147810.v1,OpenAlex,2026-03-02 22:51:08.456832+00
Decision letter: A family of fluoride-specific ion channels with dual-topology architecture,EXCLUDE,4,0,0,2,0,2,"Low score: Cumulative criteria not met. (AI Note: This article describes a study about fluoride ion channels in microorganisms and their function, not related to marine research or oil pollution.)",10.7554/elife.01084.015,OpenAlex,2026-03-02 22:51:48.465465+00
Invasion Pressure to a Ballast-flooded Estuary and an Assessment of Inoculant Survival,EXCLUDE,4,2,2,0,0,0,"Q3 KILL SWITCH: No quantitative data/Qualitative study. (AI Note: The abstract is missing, so it is impossible to extract data.)",10.1023/a:1010094527218,OpenAlex,2026-03-02 22:51:55.733475+00
The role of marine salt and surfactants in the decline of Tyrrhenian coastal vegetation in Italy,EXCLUDE,4,2,0,0,2,0,"Q3 KILL SWITCH: No quantitative data/Qualitative study. (AI Note: The abstract is missing, so the study cannot be assessed.)",10.1051/forest:19950306,OpenAlex,2026-03-02 22:51:32.440438+00
Considering alternative input parameters in an activity‐based ship fuel consumption and emissions model: Reply to comment by Øyvind Endresen et al. on “Updated emissions from ocean shipping”,EXCLUDE,4,1,1,1,1,0,"Low score: Cumulative criteria not met. (AI Note: This article focuses on discussing and comparing different models for estimating ship fuel consumption and emissions, rather than presenting original empirical research.)",10.1029/2004jd005030,OpenAlex,2026-03-02 22:47:11.199527+00
Genetic diversity and resistance to marine pollution,EXCLUDE,4,1,0,0,1,2,"Q3 KILL SWITCH: No quantitative data/Qualitative study. (AI Note: This study is a laboratory experiment, but with marine species so is relevant.)",10.1111/j.1095-8312.1986.tb01828.x,OpenAlex,2026-03-02 22:51:30.472544+00
The Environmental Design Parameters AffectingThe New Lay-out Of The Vuosaari Small CraftMarina,EXCLUDE,4,2,2,0,0,0,"Q3 KILL SWITCH: No quantitative data/Qualitative study. (AI Note: This paper describes the environmental impact assessment (EIA) during the marina design phase and discusses planning principles, water exchange, and water quality, but it doesn't prese",10.2495/ce990501,OpenAlex,2026-03-02 22:50:48.090878+00
The Thermal Stability of the Naphthalene Sulfonic Acids Under Geothermal Conditions,EXCLUDE,4,0,0,2,0,2,"Low score: Cumulative criteria not met. (AI Note: The study focuses on chemical reactions under geothermal conditions, lacking a marine or vessel context.)",10.26686/wgtn.17147810,OpenAlex,2026-03-02 22:51:08.881857+00
Effect of Low Frequency Vibration on the Arterial Wall,EXCLUDE,4,0,0,2,0,2,Low score: Cumulative criteria not met. (AI Note: This study is about the effect of vibrations on human arteries and not marine research.),10.1161/01.res.29.2.136,OpenAlex,2026-03-02 22:50:56.370598+00
Disney cruise line environmental management. Part I: environmental policy and waste management on cruise itineraries,EXCLUDE,4,1,2,0,1,0,"Q3 KILL SWITCH: No quantitative data/Qualitative study. (AI Note: The study is a review of policies and procedures, rather than an original empirical research study.)",10.15551/lsgdc.v45i0.08,OpenAlex,2026-03-02 22:49:44.992272+00
Art. X.—<i>Notes respecting some Indian Fishes</i>,EXCLUDE,4,2,2,0,0,0,"Q3 KILL SWITCH: No quantitative data/Qualitative study. (AI Note: The study is a historical record of fish species in the Bay of Bengal and Ganges estuaries, lacking quantitative data or modern research methods related to marine pollution.)",10.1017/s0035869x00015203,OpenAlex,2026-03-02 22:52:05.36708+00
"Evaluation of ground-water degradation resulting from waste disposal to alluvium near Barstow, California",EXCLUDE,4,0,0,1,1,2,"Low score: Cumulative criteria not met. (AI Note: This study focuses on groundwater contamination from waste disposal near a river, which is not marine research.)",10.3133/pp878,OpenAlex,2026-03-02 22:51:34.240635+00
Effect of Surfactants Upon Corrosion Inhibition of High-Strength Steels and Aluminum Alloys,EXCLUDE,4,0,0,0,2,2,Q3 KILL SWITCH: No quantitative data/Qualitative study. (AI Note: This study examines corrosion inhibition using surfactants on metal alloys in the lab.),10.5006/1.3581909,OpenAlex,2026-03-02 22:51:19.51029+00
Boating- and Shipping-Related Environmental Impacts and Example Management Measures: A Review,EXCLUDE,4,1,1,0,1,1,Q3 KILL SWITCH: No quantitative data/Qualitative study. (AI Note: This is a review paper about boating and shipping related environmental impacts and management measures in Australia.),10.3390/jmse8110908,OpenAlex,2026-03-02 22:49:34.723883+00
RECENT CHANGES IN TRADE AND TRANSPORT IN WEST GREENLAND,EXCLUDE,4,1,1,1,1,0,"Low score: Cumulative criteria not met. (AI Note: This is a qualitative description of trade and transport, not an empirical study of oil pollution in water.)",10.1111/j.1541-0064.1952.tb01714.x,OpenAlex,2026-03-02 22:50:39.56568+00
"Copper and sewage inputs from recreational vessels at popular anchor sites in a semi-enclosed Bay (Qld, Australia): Estimates of potential annual loads",EXCLUDE,4,2,2,0,0,0,Q3 KILL SWITCH: No quantitative data/Qualitative study. (AI Note: The abstract is missing.),10.1016/j.marpolbul.2008.04.033,OpenAlex,2026-03-02 22:47:06.858844+00
The potential for vessel noise to mask biologically important sounds within ecologically significant embayments,EXCLUDE,4,2,2,0,0,0,Q3 KILL SWITCH: No quantitative data/Qualitative study. (AI Note: The abstract is missing from the document.),10.1016/j.ocecoaman.2016.04.007,OpenAlex,2026-03-02 22:47:09.321299+00
Energy Storage Systems in Micro-Grid of Hybrid Renewable Energy Solutions,EXCLUDE,4,0,0,2,0,2,"Low score: Cumulative criteria not met. (AI Note: This article focuses on energy storage solutions in micro-grids, not marine research.)",10.3390/technologies13110527,OpenAlex,2026-03-02 22:51:03.638077+00
Effects of ship traffic on seabirds in offshore waters: implications for marine conservation and spatial planning,EXCLUDE,4,1,1,0,0,2,"Q3 KILL SWITCH: No quantitative data/Qualitative study. (AI Note: This study focuses on the impact of ship traffic on seabird behavior, without examining water quality, oil pollution or any quantitative measures of water contamination.)",10.1890/10-0615.1,OpenAlex,2026-03-02 22:47:08.20125+00
ENHANCING SAFETY IN SHIP'S CRITICAL SYSTEMS USING MARKOV MODELING,EXCLUDE,4,1,1,1,0,1,Low score: Cumulative criteria not met. (AI Note: This paper models ship systems and failure rates but does not provide original water quality data.),10.1142/s0218539309003290,OpenAlex,2026-03-02 22:49:56.419425+00
DEVELOPMENT OF RIVER TRASH COLLECTOR SYSTEM,EXCLUDE,4,2,0,0,1,1,"Q3 KILL SWITCH: No quantitative data/Qualitative study. (AI Note: The study describes the development of a river trash collection system, which focuses on riverine pollution.)",10.1088/1742-6596/1529/4/042029,OpenAlex,2026-03-02 22:51:33.418909+00
Effect of Aquatic Pollution on Fish in Libya: A Review,EXCLUDE,3,1,0,0,1,1,Q3 KILL SWITCH: No quantitative data/Qualitative study. (AI Note: This is a review paper about aquatic pollution's effects on Libyan fish.),10.36948/ijfmr.2025.v07i01.35404,OpenAlex,2026-03-02 22:51:44.184157+00
Healing of gabbro-built faults under hydrothermal conditions,EXCLUDE,3,0,0,1,0,2,"Low score: Cumulative criteria not met. (AI Note: This study examines fault healing in gabbro under hydrothermal conditions in a lab, and does not relate to marine pollution.)",10.5194/egusphere-egu23-9616,OpenAlex,2026-03-02 22:51:05.067745+00
Effect of thermal aging and irradiation on microstructure and crack growth response of Alloy 690,EXCLUDE,3,0,0,1,0,2,"Low score: Cumulative criteria not met. (AI Note: This study analyzes alloy materials in nuclear power plants and reactors, not related to marine research.)",10.2172/1818506,OpenAlex,2026-03-02 22:50:59.322293+00
